event_id,customer_id,session_id,event_type,event_timestamp,page_url,product_id,category_id,referrer_source,device_type,user_agent,ip_address
evt_000012,cust_40391,sess_3dd89793,checkout_start,2025-09-07 09:04:38,wp-content,prod_6722,cat_sports,google,tablet,Opera/9.12.(Windows 95; quz-PE) Presto/2.9.172 Version/11.00,66.63.208.254
evt_000013,cust_36267,sess_e087903c,product_view,2025-09-05 07:37:26,posts/tags/blog,prod_6487,cat_clothing,facebook,mobile,Opera/9.79.(X11; Linux x86_64; nl-NL) Presto/2.9.167 Version/11.00,134.69.141.90
evt_000014,cust_15414,sess_43b82242,purchase,2025-09-09 00:38:02,main/list/app,prod_3229,cat_sports,direct,desktop,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/3.0),146.187.70.113
evt_000015,cust_17762,sess_655dce50,remove_from_cart,2025-08-30 12:31:56,category/categories,prod_5737,cat_beauty,twitter,mobile,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.1),145.145.227.12
evt_000016,cust_99412,sess_6acd6b27,purchase,2025-09-06 18:08:29,tag,prod_9849,cat_electronics,direct,desktop,Mozilla/5.0 (Android 4.0.2; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,72.194.131.73
evt_000017,cust_36792,sess_e78fe06f,add_to_cart,2025-08-28 00:40:01,main/blog/tags,,,google,desktop,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/4.1),67.174.123.58
evt_000018,cust_78332,sess_bcb8d7f7,search,2025-09-01 04:37:12,posts,prod_4463,cat_books,instagram,tablet,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/3.1),200.30.160.26
evt_000019,cust_47588,sess_734e2581,remove_from_cart,2025-08-27 14:13:25,main/category,prod_4125,cat_books,instagram,mobile,"Mozilla/5.0 (Linux; Android 3.2.3) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/14.0.872.0 Safari/533.1",59.96.224.123
evt_000020,cust_72070,sess_6fd97d5f,search,2025-09-14 21:22:48,search,,,instagram,desktop,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.0),181.188.93.238
evt_000021,cust_96756,sess_1dac9f9c,page_view,2025-09-11 21:15:42,app/list/blog,prod_3515,cat_books,facebook,tablet,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/4.0),104.87.210.109
evt_000022,cust_72272,sess_ade2a0f4,purchase,2025-09-15 12:44:22,tag/search/wp-content,prod_8377,cat_sports,email,tablet,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_9; rv:1.9.4.20) Gecko/3824-06-13 16:47:19.105911 Firefox/15.0,211.42.14.243
evt_000023,cust_58552,sess_2b21ffd1,search,2025-09-03 15:09:32,wp-content/wp-content/categories,,,twitter,desktop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/37.0.869.0 Safari/531.1",51.61.120.11
evt_000024,cust_46032,sess_5874e501,purchase,2025-08-18 05:37:59,blog,prod_9398,cat_beauty,facebook,tablet,"Mozilla/5.0 (iPad; CPU iPad OS 16_7_7 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/10.3p5181.0 Mobile/49R828 Safari/536.1",50.67.129.210
evt_000025,cust_35252,sess_6a29e0d3,remove_from_cart,2025-09-07 04:13:30,explore,prod_6951,cat_beauty,google,desktop,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/20.0.841.0 Mobile/62K560 Safari/533.1",93.60.254.104
evt_000026,cust_23968,sess_109f7bce,page_view,2025-08-22 13:52:44,tags/categories/explore,prod_3745,cat_sports,instagram,desktop,Opera/8.17.(X11; Linux x86_64; mai-IN) Presto/2.9.177 Version/11.00,87.87.8.18
evt_000027,cust_35616,sess_5896d426,remove_from_cart,2025-09-05 22:07:28,categories/explore,prod_6944,cat_clothing,direct,mobile,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_6 rv:2.0; bg-BG) AppleWebKit/535.22.2 (KHTML, like Gecko) Version/5.0.2 Safari/535.22.2",26.126.138.77
evt_000028,cust_37716,sess_7bb4462f,page_view,2025-09-13 21:48:39,main,prod_7694,cat_home,direct,tablet,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/533.25.4 (KHTML, like Gecko) Version/4.1 Safari/533.25.4",6.11.184.214
evt_000029,cust_27749,sess_0f75eccb,purchase,2025-09-01 09:26:35,main/tags,,,twitter,mobile,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/5.1),125.144.52.163
evt_000030,cust_42254,sess_79cb4893,page_view,2025-09-07 17:15:32,posts/tag/tag,,,facebook,tablet,"Mozilla/5.0 (Windows NT 11.0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/57.0.850.0 Safari/533.2",32.227.157.96
evt_000031,cust_71553,sess_a2754f24,search,2025-09-07 13:48:44,category/categories/search,prod_7411,cat_books,facebook,desktop,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/4.0),194.146.13.253
evt_000032,cust_76237,sess_2abd5c9b,page_view,2025-08-21 04:39:04,explore/main,,,instagram,tablet,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/3.0),48.10.130.54
evt_000033,cust_12256,sess_e3ff07a0,remove_from_cart,2025-08-31 11:23:37,wp-content,,,direct,tablet,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/5.0),112.60.155.196
evt_000034,cust_66752,sess_26e2884a,add_to_cart,2025-09-01 02:23:46,categories/app/tags,,,google,mobile,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.0),145.218.209.77
evt_000035,cust_34592,sess_58800ed8,remove_from_cart,2025-09-13 11:08:48,wp-content,prod_1242,cat_electronics,google,desktop,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/5.1),202.109.118.13
evt_000036,cust_83336,sess_134cc0d2,remove_from_cart,2025-08-28 11:27:31,explore/explore/tag,prod_8505,cat_beauty,twitter,tablet,Opera/8.26.(Windows CE; ff-SN) Presto/2.9.163 Version/12.00,146.62.215.220
evt_000037,cust_30594,sess_e1838a96,add_to_cart,2025-08-23 07:59:39,app,prod_1098,cat_beauty,instagram,mobile,Opera/9.26.(Windows NT 5.01; kw-GB) Presto/2.9.181 Version/11.00,89.143.248.94
evt_000038,cust_47079,sess_30b6a07e,add_to_cart,2025-08-23 07:05:14,blog,prod_7472,cat_beauty,twitter,tablet,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/5.1),95.235.15.214
evt_000039,cust_34780,sess_e4c22292,remove_from_cart,2025-08-31 15:05:43,wp-content/categories,prod_4910,cat_home,google,mobile,Opera/9.67.(X11; Linux x86_64; el-GR) Presto/2.9.166 Version/10.00,59.204.192.196
evt_000040,cust_65796,sess_0b1aaed1,search,2025-08-25 06:18:31,list/wp-content,prod_6156,cat_electronics,direct,tablet,Opera/8.69.(Windows NT 5.1; gu-IN) Presto/2.9.171 Version/11.00,189.70.127.166
evt_000041,cust_48034,sess_ca281ce6,checkout_start,2025-09-02 10:32:10,main,prod_2607,cat_electronics,instagram,mobile,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/5.1),25.85.141.134
evt_000042,cust_78227,sess_f7d4ae90,checkout_start,2025-08-28 05:59:12,tags/category,prod_9602,cat_electronics,direct,mobile,"Mozilla/5.0 (iPad; CPU iPad OS 2_2_1 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/25.0.818.0 Mobile/77I422 Safari/535.0",8.111.131.255
evt_000043,cust_77222,sess_942faa80,product_view,2025-09-06 09:38:47,app,prod_5700,cat_clothing,google,mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; de-BE) AppleWebKit/535.24.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6535.24.7",47.83.4.135
evt_000044,cust_28060,sess_bbdb7196,search,2025-08-26 06:03:29,explore,prod_3272,cat_sports,email,mobile,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.0),179.119.174.63
evt_000045,cust_79028,sess_d9421530,page_view,2025-08-31 20:02:46,posts/blog/main,prod_4615,cat_books,facebook,tablet,Opera/9.45.(X11; Linux x86_64; ss-ZA) Presto/2.9.172 Version/12.00,70.131.157.227
evt_000046,cust_65952,sess_165aeb9d,page_view,2025-08-21 18:50:01,app,,,email,tablet,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/33.0.866.0 Mobile/34K126 Safari/533.1",33.175.34.34
evt_000047,cust_78996,sess_0909689b,remove_from_cart,2025-09-15 21:43:20,main/explore/posts,prod_9246,cat_beauty,twitter,tablet,Opera/9.87.(X11; Linux i686; el-GR) Presto/2.9.184 Version/12.00,108.210.162.46
evt_000048,cust_35968,sess_f3bc5c29,page_view,2025-09-08 03:20:50,list,,,instagram,mobile,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/531.28.5 (KHTML, like Gecko) Version/4.1 Safari/531.28.5",74.149.41.56
evt_000049,cust_99620,sess_5812c84e,search,2025-08-27 02:14:55,search/search/category,prod_7634,cat_beauty,google,mobile,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/21.0.886.0 Safari/533.2",53.221.168.173
evt_000050,cust_11297,sess_f8b40b47,add_to_cart,2025-09-01 12:47:19,blog/blog,,,google,mobile,Opera/8.18.(Windows NT 4.0; et-EE) Presto/2.9.168 Version/10.00,123.153.148.74
evt_000051,cust_10194,sess_90fccbe3,product_view,2025-09-01 02:59:13,main/blog,prod_9644,cat_beauty,instagram,tablet,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_0 rv:6.0; ce-RU) AppleWebKit/533.5.7 (KHTML, like Gecko) Version/4.0.5 Safari/533.5.7",86.169.49.128
evt_000052,cust_87350,sess_c1fdbde0,page_view,2025-09-10 22:24:44,category/list,prod_6343,cat_sports,direct,desktop,Opera/8.88.(X11; Linux i686; ak-GH) Presto/2.9.164 Version/12.00,95.221.209.94
evt_000053,cust_15201,sess_f05b2f5d,remove_from_cart,2025-08-19 20:06:14,app/posts/list,prod_3060,cat_books,facebook,desktop,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/16.0.802.0 Mobile/19F868 Safari/534.1",95.210.14.192
evt_000054,cust_74594,sess_1dc84749,product_view,2025-08-27 04:40:02,category/posts,prod_8373,cat_sports,instagram,mobile,"Mozilla/5.0 (Linux; Android 4.0) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/36.0.862.0 Safari/536.0",150.103.45.4
evt_000055,cust_56496,sess_3fd9213d,checkout_start,2025-09-15 10:53:15,wp-content/main,prod_3908,cat_electronics,instagram,tablet,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/5.0),31.163.10.173
evt_000056,cust_16225,sess_740f6b2c,page_view,2025-08-24 20:11:43,search/wp-content/categories,,,instagram,mobile,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_6) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/38.0.804.0 Safari/532.1",212.229.185.146
evt_000057,cust_94300,sess_b6aba5c2,purchase,2025-08-20 14:59:07,wp-content/blog,prod_1966,cat_electronics,direct,mobile,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/5.0),119.7.227.56
evt_000058,cust_95131,sess_991405a5,page_view,2025-09-01 16:36:13,wp-content,prod_5562,cat_books,twitter,mobile,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/4.0),75.233.127.71
evt_000059,cust_23745,sess_7ffeb429,page_view,2025-09-02 19:02:38,categories/tags,prod_8825,cat_electronics,direct,tablet,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_3) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/56.0.854.0 Safari/536.1",158.21.13.98
evt_000060,cust_19636,sess_920cfce9,product_view,2025-08-20 10:12:12,wp-content/posts,prod_7526,cat_clothing,google,mobile,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/3.0),207.109.37.167
evt_000061,cust_98420,sess_5ec8360a,product_view,2025-08-26 04:23:36,category/search/search,prod_4265,cat_sports,google,mobile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1 rv:3.0; kn-IN) AppleWebKit/534.11.4 (KHTML, like Gecko) Version/5.0 Safari/534.11.4",15.36.97.187
evt_000062,cust_81038,sess_a0ffd4f7,page_view,2025-08-18 16:16:00,tags/main,,,google,tablet,"Mozilla/5.0 (Linux; Android 3.1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/26.0.869.0 Safari/535.0",71.7.243.63
evt_000063,cust_48455,sess_1140d035,purchase,2025-08-28 21:44:34,wp-content/posts,,,email,desktop,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/532.27.6 (KHTML, like Gecko) Version/5.0.3 Safari/532.27.6",206.2.47.4
evt_000064,cust_96439,sess_546274b1,product_view,2025-08-18 11:22:27,list/category/category,,,instagram,tablet,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.1),16.87.32.45
evt_000065,cust_87731,sess_9510a88a,purchase,2025-09-07 03:32:58,tag/wp-content/tag,,,email,desktop,Opera/8.10.(Windows NT 6.0; ja-JP) Presto/2.9.187 Version/11.00,101.27.135.218
evt_000066,cust_96879,sess_08bb7c38,checkout_start,2025-09-12 15:59:52,app/posts/tag,prod_8702,cat_sports,facebook,tablet,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.1),1.28.157.172
evt_000067,cust_54846,sess_73a32137,search,2025-08-29 22:33:25,app/explore/main,prod_2630,cat_books,instagram,mobile,Mozilla/5.0 (Windows 98; Win 9x 4.90; ss-ZA; rv:1.9.1.20) Gecko/5333-04-17 19:29:16.869781 Firefox/3.8,108.193.84.158
evt_000068,cust_35086,sess_2aca60d5,purchase,2025-09-10 22:01:21,explore/category,prod_1694,cat_home,email,mobile,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/535.2.6 (KHTML, like Gecko) Version/4.1 Safari/535.2.6",142.9.155.97
evt_000069,cust_86558,sess_90242090,product_view,2025-09-08 20:05:36,main,prod_8207,cat_books,google,desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4 rv:4.0; ayc-PE) AppleWebKit/533.12.7 (KHTML, like Gecko) Version/4.0 Safari/533.12.7",160.217.176.177
evt_000070,cust_40730,sess_39b187de,purchase,2025-09-15 08:37:08,search/main,prod_6537,cat_beauty,direct,mobile,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.823.0 Safari/535.1",104.140.94.180
evt_000071,cust_51881,sess_616a14fa,product_view,2025-09-11 14:43:52,category/main/main,,,direct,tablet,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/47.0.817.0 Safari/536.0",44.64.250.228
evt_000072,cust_89972,sess_1c05064f,add_to_cart,2025-09-04 03:19:01,categories/app/posts,prod_8972,cat_sports,twitter,desktop,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/5.1),53.173.218.49
evt_000073,cust_94623,sess_adb550f2,purchase,2025-09-08 13:45:43,search,prod_7905,cat_clothing,email,tablet,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/29.0.848.0 Safari/535.0",36.125.43.207
evt_000074,cust_81221,sess_977e2290,page_view,2025-08-24 08:16:42,posts/tag,,,facebook,tablet,Mozilla/5.0 (Windows NT 6.0; wa-BE; rv:1.9.2.20) Gecko/2440-01-22 04:15:35.695911 Firefox/3.8,44.29.74.116
evt_000075,cust_26489,sess_10f06ade,purchase,2025-09-02 21:07:39,posts/tag/app,,,twitter,mobile,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_5 rv:4.0; cmn-TW) AppleWebKit/533.41.4 (KHTML, like Gecko) Version/4.0 Safari/533.41.4",107.48.93.213
evt_000076,cust_50860,sess_f6a4bc81,search,2025-09-08 10:59:38,category/list,prod_4404,cat_sports,twitter,desktop,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/14.0.837.0 Safari/536.1",222.221.179.186
evt_000077,cust_38182,sess_7cb3ba28,search,2025-09-10 09:59:07,tags/tag/posts,prod_2907,cat_home,direct,tablet,Opera/8.94.(X11; Linux i686; he-IL) Presto/2.9.160 Version/12.00,38.107.86.216
evt_000078,cust_93146,sess_e1e2e0f4,checkout_start,2025-09-05 09:10:49,posts/wp-content,prod_6887,cat_beauty,email,tablet,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/5.1),133.21.187.47
evt_000079,cust_32769,sess_d9f2fc07,purchase,2025-09-14 05:36:29,main/category/posts,,,email,desktop,"Mozilla/5.0 (iPad; CPU iPad OS 2_2_1 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/11.5g4666.0 Mobile/38B719 Safari/531.0",173.164.74.225
evt_000080,cust_45816,sess_886316f4,search,2025-09-02 11:31:30,category/blog/search,prod_7674,cat_beauty,instagram,tablet,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/50.0.897.0 Safari/535.0",203.232.0.219
evt_000081,cust_57563,sess_68ec0515,search,2025-08-31 14:43:57,main/search,,,facebook,desktop,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/3.0),96.233.238.166
evt_000082,cust_25281,sess_d0794b60,page_view,2025-09-04 08:03:43,search/categories,prod_1187,cat_electronics,twitter,tablet,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_9 rv:4.0; oc-FR) AppleWebKit/533.10.5 (KHTML, like Gecko) Version/5.1 Safari/533.10.5",180.12.155.0
evt_000083,cust_37575,sess_ff7a1e86,remove_from_cart,2025-08-28 20:55:02,tag,prod_2810,cat_books,direct,mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; he-IL) AppleWebKit/535.37.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6535.37.5",125.74.32.155
evt_000084,cust_61303,sess_72e57502,page_view,2025-08-19 02:36:26,search,,,google,mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; he-IL) AppleWebKit/533.24.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6533.24.3",168.136.14.79
evt_000085,cust_63331,sess_c77f56de,remove_from_cart,2025-08-19 10:47:13,main/wp-content/app,prod_6704,cat_beauty,direct,mobile,Mozilla/5.0 (Android 6.0; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0,136.204.238.51
evt_000086,cust_60318,sess_637922bd,remove_from_cart,2025-08-30 17:06:49,categories/search,prod_9360,cat_beauty,instagram,desktop,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; kw-GB) AppleWebKit/531.23.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6531.23.2",154.238.140.7
evt_000087,cust_68603,sess_46de4adb,purchase,2025-08-20 03:09:29,list/explore/tag,,,email,tablet,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_3) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/29.0.871.0 Safari/534.0",148.89.226.243
evt_000088,cust_76858,sess_0cb16d9b,product_view,2025-08-24 14:30:04,blog,,,twitter,mobile,"Mozilla/5.0 (Windows CE) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/17.0.863.0 Safari/532.1",51.216.152.241
evt_000089,cust_88280,sess_2c3ea292,purchase,2025-09-02 18:05:29,categories,prod_1722,cat_home,twitter,tablet,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_6 rv:5.0; be-BY) AppleWebKit/532.46.7 (KHTML, like Gecko) Version/5.1 Safari/532.46.7",61.202.179.39
evt_000090,cust_76579,sess_bf7a7ea8,checkout_start,2025-08-24 19:10:58,posts/list/main,prod_6142,cat_beauty,direct,desktop,Mozilla/5.0 (Windows NT 11.0; ug-CN; rv:1.9.2.20) Gecko/9709-01-30 15:18:01.805939 Firefox/5.0,75.217.148.18
evt_000091,cust_82038,sess_8ee03859,page_view,2025-09-15 08:56:45,posts/main/blog,prod_5336,cat_books,facebook,tablet,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; fo-FO) AppleWebKit/535.18.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6535.18.1",174.195.180.156
evt_000092,cust_38951,sess_efb4b3de,purchase,2025-09-07 00:12:58,wp-content/posts,,,direct,desktop,"Mozilla/5.0 (Linux; Android 12) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/47.0.882.0 Safari/534.1",221.12.114.63
evt_000093,cust_19793,sess_b2a60efe,product_view,2025-08-27 16:08:00,list,prod_9557,cat_home,google,desktop,Opera/8.60.(X11; Linux x86_64; nhn-MX) Presto/2.9.190 Version/11.00,134.4.42.32
evt_000094,cust_44630,sess_088fbc5e,remove_from_cart,2025-09-11 21:30:49,posts,prod_2272,cat_sports,facebook,desktop,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/3155-10-20 17:45:09.841698 Firefox/8.0,160.181.84.74
evt_000095,cust_14238,sess_004d01ce,add_to_cart,2025-09-12 14:15:44,wp-content/main,prod_8154,cat_clothing,twitter,tablet,"Mozilla/5.0 (Linux; Android 4.0.4) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/61.0.888.0 Safari/536.0",124.136.98.133
evt_000096,cust_96642,sess_59c7921c,purchase,2025-08-30 07:11:57,categories/blog/category,prod_9655,cat_electronics,email,tablet,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/62.0.802.0 Safari/535.0",199.45.214.59
evt_000097,cust_56425,sess_81160615,remove_from_cart,2025-09-10 11:33:45,posts,prod_6924,cat_electronics,instagram,mobile,Opera/9.75.(X11; Linux i686; vi-VN) Presto/2.9.162 Version/12.00,179.14.225.40
evt_000098,cust_47875,sess_b15cd8af,checkout_start,2025-09-06 23:22:52,posts/categories/tags,,,twitter,mobile,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/8356-08-05 18:27:23.314362 Firefox/3.6.12,73.10.148.42
evt_000099,cust_26802,sess_543b6585,product_view,2025-09-07 06:55:26,categories,prod_8389,cat_home,instagram,mobile,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.0),61.56.203.64
evt_000100,cust_53827,sess_472dbdb5,add_to_cart,2025-09-13 09:38:28,tags,prod_3883,cat_books,instagram,mobile,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/531.4.6 (KHTML, like Gecko) Version/4.0.3 Safari/531.4.6",168.24.93.25
evt_000101,cust_45777,sess_6d8b1e3c,remove_from_cart,2025-08-23 17:27:58,category/blog/category,prod_7764,cat_sports,instagram,desktop,"Mozilla/5.0 (Linux; Android 2.1) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/24.0.842.0 Safari/534.0",105.232.183.250
evt_000102,cust_18014,sess_aa81be6a,add_to_cart,2025-09-07 18:57:46,categories/posts/tags,prod_5052,cat_beauty,facebook,mobile,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/44.0.856.0 Safari/533.1",27.120.0.56
evt_000103,cust_45477,sess_a0f5b37c,checkout_start,2025-09-01 23:54:23,category/main,,,email,mobile,Opera/9.82.(X11; Linux i686; nn-NO) Presto/2.9.170 Version/12.00,143.52.184.240
evt_000104,cust_59817,sess_28645601,add_to_cart,2025-08-24 06:53:21,tags,,,email,mobile,"Mozilla/5.0 (Linux; Android 3.2.5) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/45.0.828.0 Safari/536.1",15.236.97.240
evt_000105,cust_43486,sess_a3aab255,purchase,2025-09-01 23:59:01,app,prod_5693,cat_clothing,direct,mobile,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_8 rv:3.0; lzh-TW) AppleWebKit/531.12.2 (KHTML, like Gecko) Version/4.0.1 Safari/531.12.2",29.66.255.192
