snapshot_id,product_id,warehouse_id,snapshot_date,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,reorder_quantity,supplier_id,last_received_date,unit_cost
snap_000048,prod_3354,wh_001,2025-09-03,464,14,450,37,189,supp_005,2025-07-18,852.85
snap_000049,prod_4225,wh_001,2025-09-12,499,24,475,69,56,supp_001,2025-08-09,364.72
snap_000050,prod_4401,wh_001,2025-09-11,372,45,327,91,89,supp_004,2025-09-09,230.24
snap_000051,prod_9261,wh_001,2025-08-26,407,32,375,35,99,supp_005,2025-08-16,346.03
snap_000052,prod_4209,wh_004,2025-09-06,321,2,319,92,116,supp_001,2025-08-10,610.54
snap_000053,prod_5393,wh_002,2025-09-02,63,0,63,90,159,supp_004,2025-09-07,880.43
snap_000054,prod_7975,wh_001,2025-08-31,17,46,0,75,105,supp_002,2025-07-31,589.99
snap_000055,prod_7253,wh_004,2025-08-24,300,14,286,37,100,supp_005,2025-09-14,660.33
snap_000056,prod_9197,wh_004,2025-08-22,295,50,245,51,96,supp_002,2025-09-04,458.37
snap_000057,prod_5411,wh_003,2025-09-12,65,47,18,83,73,supp_003,2025-07-18,260.39
snap_000058,prod_9425,wh_002,2025-08-26,474,8,466,46,142,supp_001,2025-08-23,477.9
snap_000059,prod_6691,wh_002,2025-08-22,25,25,0,40,108,supp_001,2025-08-19,754.99
snap_000060,prod_1941,wh_003,2025-08-30,289,7,282,61,111,supp_004,2025-08-07,85.93
snap_000061,prod_2897,wh_004,2025-08-19,73,11,62,45,197,supp_004,2025-08-04,106.37
snap_000062,prod_6254,wh_001,2025-08-29,431,11,420,19,151,supp_003,2025-07-20,434.19
snap_000063,prod_1333,wh_002,2025-09-06,27,22,5,68,162,supp_004,2025-08-02,276.67
snap_000064,prod_7023,wh_003,2025-08-19,119,1,118,32,164,supp_005,2025-07-31,553.78
snap_000065,prod_7362,wh_001,2025-08-23,94,36,58,30,113,supp_003,2025-09-05,597.35
snap_000066,prod_7463,wh_003,2025-08-30,441,28,413,42,199,supp_003,2025-08-03,192.25
snap_000067,prod_2145,wh_003,2025-09-10,198,47,151,89,171,supp_005,2025-08-23,8.71
snap_000068,prod_9844,wh_003,2025-08-19,303,18,285,12,66,supp_002,2025-08-30,562.27
snap_000069,prod_7257,wh_001,2025-09-06,354,39,315,44,126,supp_003,2025-09-02,219.94
snap_000070,prod_3105,wh_002,2025-08-24,134,15,119,76,67,supp_005,2025-09-02,657.73
snap_000071,prod_8091,wh_004,2025-09-07,169,11,158,24,193,supp_004,2025-07-18,38.77
snap_000072,prod_7361,wh_001,2025-09-10,278,32,246,47,170,supp_002,2025-09-15,67.89
snap_000073,prod_8605,wh_005,2025-09-07,23,18,5,34,135,supp_003,2025-08-01,329.3
snap_000074,prod_7594,wh_005,2025-08-18,311,12,299,18,142,supp_003,2025-09-04,54.65
snap_000075,prod_9010,wh_001,2025-09-04,178,45,133,42,119,supp_004,2025-08-14,78.95
snap_000076,prod_6893,wh_004,2025-08-17,242,26,216,17,180,supp_003,2025-09-11,189.72
snap_000077,prod_2420,wh_003,2025-08-28,3,3,0,12,130,supp_004,2025-07-26,907.61
snap_000078,prod_5690,wh_001,2025-09-10,61,40,21,81,142,supp_005,2025-08-06,384.08
snap_000079,prod_5509,wh_003,2025-08-24,496,44,452,27,119,supp_003,2025-07-23,305.0
snap_000080,prod_8167,wh_002,2025-08-28,15,21,0,87,199,supp_005,2025-08-08,663.63
snap_000081,prod_8943,wh_002,2025-08-21,281,32,249,31,128,supp_004,2025-07-31,762.83
snap_000082,prod_9637,wh_005,2025-08-22,233,29,204,66,81,supp_003,2025-09-07,173.59
snap_000083,prod_5411,wh_001,2025-09-05,57,34,23,89,133,supp_004,2025-09-13,112.05
snap_000084,prod_2868,wh_001,2025-08-27,254,7,247,70,87,supp_001,2025-08-05,649.11
snap_000085,prod_1378,wh_005,2025-09-14,323,7,316,44,102,supp_003,2025-08-20,178.26
snap_000086,prod_5661,wh_005,2025-09-06,59,46,13,38,68,supp_003,2025-08-08,735.37
snap_000087,prod_9027,wh_004,2025-09-10,142,23,119,84,55,supp_003,2025-07-30,728.21
snap_000088,prod_5454,wh_005,2025-09-08,216,18,198,93,64,supp_002,2025-09-05,51.31
snap_000089,prod_6381,wh_005,2025-08-26,499,11,488,51,138,supp_005,2025-07-31,36.49
snap_000090,prod_9773,wh_002,2025-09-04,136,17,119,36,192,supp_005,2025-09-07,580.33
snap_000091,prod_1164,wh_003,2025-09-11,216,13,203,52,125,supp_003,2025-07-26,159.31
snap_000092,prod_8002,wh_001,2025-08-19,451,10,441,34,186,supp_001,2025-07-31,101.72
snap_000093,prod_8924,wh_002,2025-08-18,278,45,233,45,105,supp_001,2025-09-05,545.23
snap_000094,prod_2903,wh_004,2025-09-10,390,38,352,42,186,supp_004,2025-09-12,335.98
snap_000095,prod_1100,wh_004,2025-08-24,117,30,87,61,56,supp_001,2025-08-10,96.0
snap_000096,prod_8537,wh_005,2025-08-19,244,37,207,46,111,supp_003,2025-08-27,765.77
snap_000097,prod_9888,wh_001,2025-09-14,343,27,316,55,115,supp_002,2025-07-28,20.48
snap_000098,prod_5460,wh_001,2025-08-30,244,30,214,11,146,supp_004,2025-09-07,443.36
snap_000099,prod_2486,wh_005,2025-08-26,192,28,164,91,63,supp_004,2025-08-02,395.32
snap_000100,prod_5799,wh_002,2025-09-15,121,17,104,80,130,supp_003,2025-08-10,107.27
snap_000101,prod_2767,wh_005,2025-09-11,465,37,428,98,97,supp_005,2025-08-19,445.36
snap_000102,prod_1150,wh_001,2025-09-12,109,19,90,11,73,supp_001,2025-09-07,410.87
snap_000103,prod_1435,wh_001,2025-09-07,113,46,67,18,143,supp_001,2025-09-06,48.53
snap_000104,prod_5777,wh_001,2025-08-21,129,24,105,80,198,supp_004,2025-08-09,765.75
snap_000105,prod_4991,wh_005,2025-09-14,133,6,127,60,56,supp_004,2025-08-07,573.52
snap_000106,prod_9113,wh_001,2025-09-13,460,42,418,83,167,supp_003,2025-08-19,874.12
snap_000107,prod_5389,wh_002,2025-08-17,437,4,433,92,111,supp_001,2025-08-13,823.85
snap_000108,prod_8821,wh_002,2025-08-25,402,49,353,32,80,supp_004,2025-08-06,391.15
snap_000109,prod_8274,wh_001,2025-08-20,359,40,319,65,155,supp_004,2025-08-26,847.02
snap_000110,prod_2426,wh_004,2025-08-23,191,27,164,100,83,supp_004,2025-08-04,457.72
snap_000111,prod_8736,wh_005,2025-09-07,240,24,216,10,136,supp_005,2025-09-14,460.73
snap_000112,prod_9143,wh_003,2025-09-05,39,41,0,16,105,supp_004,2025-09-08,316.12
snap_000113,prod_2776,wh_005,2025-08-19,309,11,298,40,189,supp_004,2025-09-05,853.44
snap_000114,prod_8563,wh_004,2025-08-26,173,13,160,84,121,supp_001,2025-07-18,10.49
snap_000115,prod_3555,wh_001,2025-08-26,289,26,263,52,70,supp_005,2025-07-18,985.03
snap_000116,prod_9970,wh_005,2025-08-30,140,19,121,30,132,supp_003,2025-07-27,421.98
snap_000117,prod_8783,wh_001,2025-08-28,459,25,434,80,101,supp_004,2025-08-17,737.1
snap_000118,prod_9550,wh_002,2025-09-03,146,17,129,100,181,supp_002,2025-08-13,429.14
snap_000119,prod_1456,wh_002,2025-09-04,87,34,53,30,121,supp_002,2025-08-12,653.54
snap_000120,prod_7874,wh_003,2025-09-07,169,14,155,63,151,supp_003,2025-07-27,879.14
snap_000121,prod_8589,wh_003,2025-09-10,265,34,231,72,106,supp_002,2025-07-27,626.14
snap_000122,prod_6632,wh_002,2025-09-14,273,16,257,69,83,supp_002,2025-07-21,926.47
snap_000123,prod_6158,wh_001,2025-08-24,405,6,399,71,139,supp_003,2025-07-26,520.14
snap_000124,prod_8041,wh_002,2025-09-15,452,30,422,70,89,supp_004,2025-08-30,463.03
snap_000125,prod_1155,wh_001,2025-08-21,149,6,143,87,79,supp_002,2025-08-14,377.57
snap_000126,prod_5437,wh_001,2025-08-30,118,43,75,21,154,supp_001,2025-07-22,48.35
snap_000127,prod_4588,wh_005,2025-08-24,240,49,191,67,106,supp_003,2025-08-10,681.37
snap_000128,prod_7016,wh_004,2025-09-07,338,46,292,12,119,supp_005,2025-08-11,216.68
snap_000129,prod_6111,wh_005,2025-09-15,126,50,76,96,98,supp_001,2025-07-19,473.81
snap_000130,prod_4483,wh_003,2025-08-31,261,5,256,54,106,supp_002,2025-07-24,927.22
snap_000131,prod_5742,wh_003,2025-09-01,451,39,412,82,59,supp_001,2025-07-22,364.6
snap_000132,prod_4888,wh_003,2025-09-14,168,8,160,86,195,supp_003,2025-08-09,750.19
snap_000133,prod_9588,wh_002,2025-08-18,246,46,200,10,150,supp_003,2025-08-23,856.14
snap_000134,prod_2473,wh_005,2025-09-01,150,21,129,74,71,supp_002,2025-08-08,764.29
snap_000135,prod_3839,wh_005,2025-08-21,87,12,75,69,190,supp_005,2025-08-14,166.02
snap_000136,prod_7953,wh_005,2025-09-01,23,23,0,12,75,supp_002,2025-09-01,620.31
snap_000137,prod_3719,wh_003,2025-08-22,230,29,201,15,186,supp_004,2025-08-24,704.8
snap_000138,prod_2289,wh_004,2025-09-10,364,14,350,73,160,supp_004,2025-07-20,447.41
snap_000139,prod_6297,wh_004,2025-08-21,122,36,86,84,87,supp_003,2025-08-25,658.69
snap_000140,prod_2375,wh_003,2025-08-19,157,37,120,83,181,supp_005,2025-09-11,738.27
snap_000141,prod_9438,wh_004,2025-09-13,444,37,407,44,82,supp_002,2025-09-14,20.2
snap_000142,prod_6421,wh_005,2025-08-22,376,2,374,42,185,supp_001,2025-08-11,527.88
snap_000143,prod_1312,wh_005,2025-09-10,149,0,149,51,136,supp_004,2025-08-04,862.13
snap_000144,prod_6881,wh_005,2025-08-17,248,23,225,82,75,supp_005,2025-07-21,629.69
snap_000145,prod_3757,wh_004,2025-09-15,256,15,241,98,136,supp_005,2025-08-13,823.74
snap_000146,prod_2183,wh_001,2025-08-19,191,42,149,81,167,supp_004,2025-08-05,376.31
snap_000147,prod_1371,wh_002,2025-08-18,171,6,165,57,111,supp_001,2025-09-09,475.33
snap_000148,prod_8744,wh_002,2025-09-12,152,7,145,91,98,supp_002,2025-08-19,117.56
snap_000149,prod_1250,wh_004,2025-09-12,176,22,154,26,114,supp_005,2025-08-12,803.44
snap_000150,prod_6270,wh_001,2025-08-31,416,41,375,41,138,supp_002,2025-07-31,982.2
snap_000151,prod_2773,wh_005,2025-09-08,164,14,150,97,88,supp_002,2025-08-15,828.16
snap_000152,prod_4427,wh_003,2025-08-24,28,21,7,65,123,supp_001,2025-08-15,101.48
snap_000153,prod_1135,wh_005,2025-08-22,135,0,135,28,119,supp_004,2025-08-16,714.58
snap_000154,prod_1539,wh_002,2025-09-05,213,45,168,20,187,supp_002,2025-09-04,877.33
snap_000155,prod_7155,wh_004,2025-09-07,288,48,240,32,72,supp_005,2025-07-18,405.83
snap_000156,prod_6835,wh_004,2025-09-12,450,26,424,22,168,supp_002,2025-08-09,337.78
snap_000157,prod_4908,wh_002,2025-08-24,267,36,231,64,101,supp_004,2025-07-25,752.06
snap_000158,prod_6544,wh_001,2025-09-11,228,26,202,10,144,supp_005,2025-08-04,418.03
snap_000159,prod_6976,wh_001,2025-08-29,320,41,279,34,108,supp_001,2025-08-19,104.95
snap_000160,prod_7197,wh_004,2025-09-15,191,11,180,95,98,supp_002,2025-08-20,260.7
snap_000161,prod_9193,wh_001,2025-08-22,403,36,367,82,141,supp_003,2025-08-10,639.12
snap_000162,prod_7380,wh_002,2025-08-24,454,25,429,72,75,supp_001,2025-08-27,954.28
snap_000163,prod_8829,wh_005,2025-09-06,403,7,396,25,69,supp_003,2025-07-20,736.63
snap_000164,prod_7499,wh_002,2025-09-09,109,23,86,47,172,supp_001,2025-08-23,885.56
snap_000165,prod_6074,wh_003,2025-08-29,390,48,342,56,61,supp_003,2025-08-31,717.43
snap_000166,prod_2320,wh_004,2025-08-23,42,50,0,20,196,supp_001,2025-08-31,29.13
snap_000167,prod_7054,wh_003,2025-09-15,235,44,191,63,158,supp_002,2025-08-14,339.42
snap_000168,prod_5986,wh_001,2025-08-27,142,18,124,63,55,supp_002,2025-08-09,652.82
snap_000169,prod_7692,wh_005,2025-09-08,377,30,347,88,57,supp_003,2025-08-31,61.22
snap_000170,prod_3976,wh_002,2025-09-11,286,20,266,13,118,supp_005,2025-09-14,608.14
snap_000171,prod_5613,wh_001,2025-08-22,389,3,386,98,157,supp_005,2025-07-21,105.81
snap_000172,prod_5701,wh_005,2025-09-12,383,18,365,48,96,supp_002,2025-07-25,978.2
snap_000173,prod_4951,wh_002,2025-09-03,9,41,0,70,90,supp_005,2025-07-23,324.67
snap_000174,prod_2996,wh_001,2025-09-03,3,47,0,71,95,supp_001,2025-08-28,553.08
snap_000175,prod_6158,wh_003,2025-09-11,52,21,31,54,63,supp_002,2025-08-27,845.29
snap_000176,prod_1552,wh_004,2025-08-30,179,13,166,74,76,supp_003,2025-09-15,968.38
snap_000177,prod_3305,wh_001,2025-08-23,418,10,408,45,93,supp_001,2025-08-27,240.8
snap_000178,prod_9367,wh_005,2025-09-13,236,48,188,45,64,supp_002,2025-07-21,212.46
snap_000179,prod_4483,wh_001,2025-08-24,129,7,122,72,109,supp_002,2025-07-21,666.52
snap_000180,prod_9489,wh_005,2025-09-14,429,22,407,28,196,supp_005,2025-09-02,770.94
snap_000181,prod_6052,wh_002,2025-08-22,166,6,160,98,52,supp_002,2025-08-03,184.32
snap_000182,prod_7910,wh_002,2025-09-02,265,6,259,21,182,supp_002,2025-09-03,775.21
snap_000183,prod_3129,wh_001,2025-08-23,476,28,448,43,151,supp_005,2025-08-21,440.86
snap_000184,prod_2818,wh_004,2025-09-15,261,28,233,90,99,supp_001,2025-09-04,394.53
snap_000185,prod_7026,wh_005,2025-09-13,342,50,292,71,111,supp_001,2025-08-21,233.44
snap_000186,prod_3887,wh_002,2025-08-29,83,10,73,87,88,supp_005,2025-08-22,783.48
snap_000187,prod_5440,wh_003,2025-09-08,288,37,251,47,53,supp_004,2025-08-04,893.03
snap_000188,prod_2041,wh_002,2025-09-14,218,23,195,22,85,supp_005,2025-07-22,198.11
snap_000189,prod_8747,wh_002,2025-09-13,118,49,69,18,184,supp_001,2025-08-15,487.43
snap_000190,prod_9317,wh_004,2025-09-01,105,6,99,74,161,supp_002,2025-09-12,307.58
snap_000191,prod_5690,wh_001,2025-09-03,22,25,0,61,85,supp_004,2025-07-30,721.85
snap_000192,prod_1573,wh_002,2025-08-24,314,33,281,13,90,supp_005,2025-08-07,764.63
snap_000193,prod_2932,wh_002,2025-08-31,109,38,71,28,165,supp_001,2025-07-18,597.17
snap_000194,prod_2376,wh_003,2025-09-13,405,21,384,13,178,supp_003,2025-07-29,693.04
snap_000195,prod_2090,wh_004,2025-09-10,197,29,168,61,84,supp_003,2025-08-11,708.78
snap_000196,prod_7947,wh_001,2025-09-01,466,12,454,38,94,supp_005,2025-08-16,156.77
snap_000197,prod_9226,wh_004,2025-08-29,273,48,225,99,126,supp_005,2025-09-04,907.91
snap_000198,prod_4237,wh_001,2025-08-30,266,45,221,86,200,supp_005,2025-07-22,657.12
snap_000199,prod_2505,wh_003,2025-09-07,379,13,366,18,124,supp_005,2025-08-04,880.86
snap_000200,prod_9647,wh_002,2025-09-08,264,31,233,80,178,supp_003,2025-09-13,949.11
snap_000201,prod_4143,wh_002,2025-09-13,290,11,279,43,79,supp_002,2025-08-12,262.32
snap_000202,prod_1240,wh_002,2025-09-03,258,41,217,66,94,supp_003,2025-09-01,486.49
snap_000203,prod_9334,wh_002,2025-09-13,139,3,136,25,121,supp_005,2025-08-27,45.86
snap_000204,prod_4390,wh_002,2025-08-22,445,10,435,33,75,supp_005,2025-08-04,728.64
snap_000205,prod_4158,wh_001,2025-08-27,160,14,146,100,119,supp_001,2025-08-26,930.78
snap_000206,prod_3260,wh_001,2025-08-26,148,37,111,81,59,supp_005,2025-07-30,960.63
snap_000207,prod_4075,wh_004,2025-09-14,15,33,0,99,196,supp_001,2025-09-10,323.48
snap_000208,prod_8720,wh_004,2025-08-28,84,39,45,14,134,supp_004,2025-08-06,132.91
snap_000209,prod_2528,wh_003,2025-09-15,422,19,403,19,81,supp_005,2025-07-27,184.72
snap_000210,prod_3982,wh_001,2025-08-23,15,30,0,55,176,supp_005,2025-08-06,278.54
snap_000211,prod_5926,wh_002,2025-08-21,269,46,223,26,108,supp_005,2025-08-20,247.41
snap_000212,prod_7428,wh_003,2025-08-22,451,41,410,26,102,supp_004,2025-07-29,984.54
snap_000213,prod_6447,wh_005,2025-09-09,237,7,230,21,98,supp_005,2025-08-14,182.6
snap_000214,prod_9059,wh_003,2025-08-21,251,21,230,47,192,supp_004,2025-08-23,586.41
snap_000215,prod_7747,wh_003,2025-08-30,324,29,295,21,135,supp_003,2025-09-01,651.31
snap_000216,prod_9476,wh_001,2025-09-15,262,44,218,30,173,supp_003,2025-08-02,978.58
snap_000217,prod_7427,wh_004,2025-09-10,292,40,252,91,187,supp_004,2025-08-06,336.99
snap_000218,prod_3758,wh_005,2025-09-01,275,50,225,54,175,supp_003,2025-08-13,104.12
snap_000219,prod_5206,wh_003,2025-09-11,445,19,426,38,71,supp_004,2025-07-26,909.16
snap_000220,prod_6228,wh_004,2025-08-20,204,50,154,83,197,supp_002,2025-08-23,987.41
snap_000221,prod_5021,wh_001,2025-08-31,217,5,212,40,198,supp_004,2025-07-21,466.43
snap_000222,prod_4905,wh_002,2025-08-29,34,40,0,76,127,supp_002,2025-08-10,100.79
snap_000223,prod_2797,wh_002,2025-09-05,142,9,133,11,57,supp_001,2025-09-06,591.05
snap_000224,prod_8411,wh_005,2025-09-13,105,16,89,70,170,supp_002,2025-08-03,861.56
snap_000225,prod_6385,wh_002,2025-08-28,231,39,192,99,129,supp_003,2025-08-05,602.19
snap_000226,prod_1187,wh_001,2025-08-18,163,40,123,69,184,supp_003,2025-08-21,437.35
snap_000227,prod_3631,wh_003,2025-09-01,62,43,19,75,85,supp_001,2025-08-27,179.26
snap_000228,prod_3669,wh_002,2025-09-07,349,9,340,86,146,supp_005,2025-09-08,785.86
snap_000229,prod_9359,wh_004,2025-08-17,240,48,192,68,88,supp_005,2025-08-07,110.02
snap_000230,prod_8364,wh_005,2025-09-12,377,27,350,49,101,supp_003,2025-08-01,736.27
snap_000231,prod_9160,wh_001,2025-08-22,397,38,359,60,111,supp_004,2025-08-26,633.37
snap_000232,prod_2308,wh_003,2025-09-02,432,14,418,29,161,supp_005,2025-08-02,317.95
snap_000233,prod_5016,wh_004,2025-08-30,15,4,11,99,132,supp_001,2025-09-15,964.49
snap_000234,prod_7970,wh_002,2025-08-26,320,32,288,61,162,supp_003,2025-08-24,159.18
snap_000235,prod_5701,wh_004,2025-08-30,351,36,315,36,145,supp_004,2025-09-11,947.72
snap_000236,prod_1842,wh_001,2025-08-30,424,25,399,51,59,supp_001,2025-08-08,66.7
snap_000237,prod_7390,wh_002,2025-09-06,23,38,0,46,115,supp_003,2025-08-24,895.3
snap_000238,prod_7295,wh_004,2025-08-21,111,11,100,90,153,supp_002,2025-08-11,645.9
snap_000239,prod_9325,wh_001,2025-09-11,88,32,56,55,60,supp_003,2025-09-08,662.2
snap_000240,prod_3259,wh_003,2025-08-18,60,9,51,49,157,supp_004,2025-09-05,168.33
snap_000241,prod_7442,wh_003,2025-08-24,14,47,0,60,55,supp_005,2025-07-29,364.14
snap_000242,prod_8949,wh_001,2025-09-09,37,43,0,81,156,supp_005,2025-08-20,58.8
snap_000243,prod_9139,wh_003,2025-08-22,273,49,224,87,133,supp_005,2025-09-10,250.05
snap_000244,prod_2116,wh_002,2025-08-30,238,50,188,87,134,supp_005,2025-07-29,618.96
snap_000245,prod_4414,wh_002,2025-08-24,143,41,102,57,114,supp_004,2025-08-30,199.35
snap_000246,prod_4076,wh_003,2025-09-12,167,47,120,64,115,supp_003,2025-09-15,575.48
snap_000247,prod_5959,wh_002,2025-09-11,164,35,129,90,99,supp_002,2025-08-30,158.77
snap_000248,prod_1594,wh_001,2025-08-25,205,20,185,68,177,supp_002,2025-07-28,432.84
snap_000249,prod_6858,wh_001,2025-08-27,227,37,190,100,167,supp_004,2025-08-23,188.22
snap_000250,prod_5411,wh_002,2025-09-14,22,38,0,56,141,supp_005,2025-08-15,533.15
snap_000251,prod_3488,wh_001,2025-08-21,383,33,350,87,90,supp_003,2025-07-29,342.79
snap_000252,prod_2261,wh_003,2025-09-13,474,2,472,47,176,supp_005,2025-09-08,141.04
snap_000253,prod_1279,wh_004,2025-09-06,386,1,385,94,52,supp_001,2025-08-27,125.23
snap_000254,prod_3824,wh_002,2025-08-29,441,29,412,35,171,supp_005,2025-08-08,711.38
snap_000255,prod_3131,wh_005,2025-08-21,420,0,420,13,113,supp_004,2025-08-03,553.68
snap_000256,prod_9209,wh_004,2025-09-13,72,19,53,66,153,supp_004,2025-09-14,799.66
snap_000257,prod_5728,wh_001,2025-08-18,410,32,378,88,67,supp_001,2025-08-22,420.61
snap_000258,prod_8808,wh_001,2025-09-06,71,14,57,94,195,supp_004,2025-08-15,258.12
snap_000259,prod_8495,wh_005,2025-09-01,6,33,0,77,197,supp_004,2025-08-21,237.19
snap_000260,prod_1025,wh_002,2025-08-23,390,4,386,36,144,supp_003,2025-08-27,603.61
snap_000261,prod_9733,wh_004,2025-08-20,78,11,67,88,80,supp_005,2025-08-17,12.39
snap_000262,prod_3325,wh_003,2025-09-08,285,13,272,78,96,supp_005,2025-07-18,373.46
snap_000263,prod_7298,wh_005,2025-09-12,232,0,232,91,60,supp_003,2025-09-15,298.74
snap_000264,prod_8519,wh_003,2025-09-03,84,49,35,57,118,supp_001,2025-07-23,346.27
snap_000265,prod_3586,wh_003,2025-09-12,281,37,244,22,153,supp_004,2025-07-22,950.55
snap_000266,prod_9615,wh_003,2025-09-01,207,20,187,84,152,supp_002,2025-08-31,331.86
snap_000267,prod_7014,wh_005,2025-09-04,489,47,442,36,68,supp_001,2025-08-29,115.16
snap_000268,prod_3888,wh_005,2025-08-31,464,8,456,16,76,supp_003,2025-09-05,521.2
snap_000269,prod_3463,wh_001,2025-08-19,437,23,414,99,140,supp_002,2025-08-22,182.86
snap_000270,prod_7648,wh_005,2025-08-19,230,40,190,63,147,supp_002,2025-08-02,507.93
snap_000271,prod_3878,wh_003,2025-08-21,445,31,414,66,160,supp_001,2025-07-30,824.5
snap_000272,prod_3243,wh_004,2025-09-14,184,4,180,32,110,supp_003,2025-07-25,631.16
snap_000273,prod_9621,wh_003,2025-09-11,329,2,327,39,197,supp_001,2025-08-23,601.05
snap_000274,prod_4609,wh_003,2025-08-31,461,48,413,72,110,supp_002,2025-08-21,261.96
snap_000275,prod_1046,wh_002,2025-08-21,339,4,335,36,73,supp_004,2025-08-26,997.38
snap_000276,prod_5838,wh_003,2025-09-15,18,28,0,48,170,supp_005,2025-08-06,915.47
